"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"ny_minus_jfk","3 wk ahead","Bin","percent","10.5","10.6",4e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","10.6","10.7",4e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","10.7","10.8",5e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","10.8","10.9",3e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","10.9","11.0",3e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","11.0","11.1",3e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","11.1","11.2",3e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","11.2","11.3",5e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","11.3","11.4",3e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","11.4","11.5",6e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","11.5","11.6",4e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","11.6","11.7",1e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","11.7","11.8",2e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","11.8","11.9",2e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","11.9","12.0",3e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","12.0","12.1",1e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","12.1","12.2",4e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","12.2","12.3",3e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","12.3","12.4",3e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","12.4","12.5",1e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","12.5","12.6",2e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","12.6","12.7",3e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","12.7","12.8",3e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","12.8","12.9",1e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","12.9","13.0",3e-04
"ny_minus_jfk","3 wk ahead","Bin","percent","13.0","100.0",0.0084
"ny_minus_jfk","4 wk ahead","Point","percent",NA,NA,2
"ny_minus_jfk","4 wk ahead","Bin","percent","0.0","0.1",0.0263
"ny_minus_jfk","4 wk ahead","Bin","percent","0.1","0.2",0.018
"ny_minus_jfk","4 wk ahead","Bin","percent","0.2","0.3",0.0189
"ny_minus_jfk","4 wk ahead","Bin","percent","0.3","0.4",0.0207
"ny_minus_jfk","4 wk ahead","Bin","percent","0.4","0.5",0.0246
"ny_minus_jfk","4 wk ahead","Bin","percent","0.5","0.6",0.027
"ny_minus_jfk","4 wk ahead","Bin","percent","0.6","0.7",0.0281
"ny_minus_jfk","4 wk ahead","Bin","percent","0.7","0.8",0.0289
"ny_minus_jfk","4 wk ahead","Bin","percent","0.8","0.9",0.0293
"ny_minus_jfk","4 wk ahead","Bin","percent","0.9","1.0",0.0266
"ny_minus_jfk","4 wk ahead","Bin","percent","1.0","1.1",0.0287
"ny_minus_jfk","4 wk ahead","Bin","percent","1.1","1.2",0.0251
"ny_minus_jfk","4 wk ahead","Bin","percent","1.2","1.3",0.0269
"ny_minus_jfk","4 wk ahead","Bin","percent","1.3","1.4",0.0261
"ny_minus_jfk","4 wk ahead","Bin","percent","1.4","1.5",0.0252
"ny_minus_jfk","4 wk ahead","Bin","percent","1.5","1.6",0.0245
"ny_minus_jfk","4 wk ahead","Bin","percent","1.6","1.7",0.0215
"ny_minus_jfk","4 wk ahead","Bin","percent","1.7","1.8",0.0195
"ny_minus_jfk","4 wk ahead","Bin","percent","1.8","1.9",0.0217
"ny_minus_jfk","4 wk ahead","Bin","percent","1.9","2.0",0.0219
"ny_minus_jfk","4 wk ahead","Bin","percent","2.0","2.1",0.021
"ny_minus_jfk","4 wk ahead","Bin","percent","2.1","2.2",0.0177
"ny_minus_jfk","4 wk ahead","Bin","percent","2.2","2.3",0.0164
"ny_minus_jfk","4 wk ahead","Bin","percent","2.3","2.4",0.0179
"ny_minus_jfk","4 wk ahead","Bin","percent","2.4","2.5",0.0167
"ny_minus_jfk","4 wk ahead","Bin","percent","2.5","2.6",0.0138
"ny_minus_jfk","4 wk ahead","Bin","percent","2.6","2.7",0.0143
"ny_minus_jfk","4 wk ahead","Bin","percent","2.7","2.8",0.016
"ny_minus_jfk","4 wk ahead","Bin","percent","2.8","2.9",0.0161
"ny_minus_jfk","4 wk ahead","Bin","percent","2.9","3.0",0.0157
"ny_minus_jfk","4 wk ahead","Bin","percent","3.0","3.1",0.013
"ny_minus_jfk","4 wk ahead","Bin","percent","3.1","3.2",0.0138
"ny_minus_jfk","4 wk ahead","Bin","percent","3.2","3.3",0.0108
"ny_minus_jfk","4 wk ahead","Bin","percent","3.3","3.4",0.0096
"ny_minus_jfk","4 wk ahead","Bin","percent","3.4","3.5",0.013
"ny_minus_jfk","4 wk ahead","Bin","percent","3.5","3.6",0.0109
"ny_minus_jfk","4 wk ahead","Bin","percent","3.6","3.7",0.0099
"ny_minus_jfk","4 wk ahead","Bin","percent","3.7","3.8",0.0091
"ny_minus_jfk","4 wk ahead","Bin","percent","3.8","3.9",0.0083
"ny_minus_jfk","4 wk ahead","Bin","percent","3.9","4.0",0.009
"ny_minus_jfk","4 wk ahead","Bin","percent","4.0","4.1",0.0095
"ny_minus_jfk","4 wk ahead","Bin","percent","4.1","4.2",0.0077
"ny_minus_jfk","4 wk ahead","Bin","percent","4.2","4.3",0.0084
"ny_minus_jfk","4 wk ahead","Bin","percent","4.3","4.4",0.0058
"ny_minus_jfk","4 wk ahead","Bin","percent","4.4","4.5",0.0064
"ny_minus_jfk","4 wk ahead","Bin","percent","4.5","4.6",0.0078
"ny_minus_jfk","4 wk ahead","Bin","percent","4.6","4.7",0.0055
"ny_minus_jfk","4 wk ahead","Bin","percent","4.7","4.8",0.0061
"ny_minus_jfk","4 wk ahead","Bin","percent","4.8","4.9",0.0048
"ny_minus_jfk","4 wk ahead","Bin","percent","4.9","5.0",0.0057
"ny_minus_jfk","4 wk ahead","Bin","percent","5.0","5.1",0.0047
"ny_minus_jfk","4 wk ahead","Bin","percent","5.1","5.2",0.0042
"ny_minus_jfk","4 wk ahead","Bin","percent","5.2","5.3",0.0052
"ny_minus_jfk","4 wk ahead","Bin","percent","5.3","5.4",0.0055
"ny_minus_jfk","4 wk ahead","Bin","percent","5.4","5.5",0.0032
"ny_minus_jfk","4 wk ahead","Bin","percent","5.5","5.6",0.0046
"ny_minus_jfk","4 wk ahead","Bin","percent","5.6","5.7",0.0039
"ny_minus_jfk","4 wk ahead","Bin","percent","5.7","5.8",0.004
"ny_minus_jfk","4 wk ahead","Bin","percent","5.8","5.9",0.0037
"ny_minus_jfk","4 wk ahead","Bin","percent","5.9","6.0",0.0033
"ny_minus_jfk","4 wk ahead","Bin","percent","6.0","6.1",0.0032
"ny_minus_jfk","4 wk ahead","Bin","percent","6.1","6.2",0.0023
"ny_minus_jfk","4 wk ahead","Bin","percent","6.2","6.3",0.0033
"ny_minus_jfk","4 wk ahead","Bin","percent","6.3","6.4",0.0035
"ny_minus_jfk","4 wk ahead","Bin","percent","6.4","6.5",0.0025
"ny_minus_jfk","4 wk ahead","Bin","percent","6.5","6.6",0.0022
"ny_minus_jfk","4 wk ahead","Bin","percent","6.6","6.7",0.0024
"ny_minus_jfk","4 wk ahead","Bin","percent","6.7","6.8",0.0027
"ny_minus_jfk","4 wk ahead","Bin","percent","6.8","6.9",0.0024
"ny_minus_jfk","4 wk ahead","Bin","percent","6.9","7.0",0.0023
"ny_minus_jfk","4 wk ahead","Bin","percent","7.0","7.1",0.0032
"ny_minus_jfk","4 wk ahead","Bin","percent","7.1","7.2",0.0022
"ny_minus_jfk","4 wk ahead","Bin","percent","7.2","7.3",0.0017
"ny_minus_jfk","4 wk ahead","Bin","percent","7.3","7.4",0.002
"ny_minus_jfk","4 wk ahead","Bin","percent","7.4","7.5",0.0024
"ny_minus_jfk","4 wk ahead","Bin","percent","7.5","7.6",0.002
"ny_minus_jfk","4 wk ahead","Bin","percent","7.6","7.7",0.0026
"ny_minus_jfk","4 wk ahead","Bin","percent","7.7","7.8",0.0021
"ny_minus_jfk","4 wk ahead","Bin","percent","7.8","7.9",0.0012
"ny_minus_jfk","4 wk ahead","Bin","percent","7.9","8.0",0.0018
"ny_minus_jfk","4 wk ahead","Bin","percent","8.0","8.1",0.0015
"ny_minus_jfk","4 wk ahead","Bin","percent","8.1","8.2",0.0025
"ny_minus_jfk","4 wk ahead","Bin","percent","8.2","8.3",0.002
"ny_minus_jfk","4 wk ahead","Bin","percent","8.3","8.4",0.0022
"ny_minus_jfk","4 wk ahead","Bin","percent","8.4","8.5",0.0015
"ny_minus_jfk","4 wk ahead","Bin","percent","8.5","8.6",0.0012
"ny_minus_jfk","4 wk ahead","Bin","percent","8.6","8.7",0.0018
"ny_minus_jfk","4 wk ahead","Bin","percent","8.7","8.8",0.001
"ny_minus_jfk","4 wk ahead","Bin","percent","8.8","8.9",0.002
"ny_minus_jfk","4 wk ahead","Bin","percent","8.9","9.0",0.0011
"ny_minus_jfk","4 wk ahead","Bin","percent","9.0","9.1",0.0013
"ny_minus_jfk","4 wk ahead","Bin","percent","9.1","9.2",0.0016
"ny_minus_jfk","4 wk ahead","Bin","percent","9.2","9.3",0.0012
"ny_minus_jfk","4 wk ahead","Bin","percent","9.3","9.4",0.001
"ny_minus_jfk","4 wk ahead","Bin","percent","9.4","9.5",7e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","9.5","9.6",0.0017
"ny_minus_jfk","4 wk ahead","Bin","percent","9.6","9.7",0.0012
"ny_minus_jfk","4 wk ahead","Bin","percent","9.7","9.8",0.0013
"ny_minus_jfk","4 wk ahead","Bin","percent","9.8","9.9",9e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","9.9","10.0",0.0012
"ny_minus_jfk","4 wk ahead","Bin","percent","10.0","10.1",0.0011
"ny_minus_jfk","4 wk ahead","Bin","percent","10.1","10.2",0.001
"ny_minus_jfk","4 wk ahead","Bin","percent","10.2","10.3",9e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","10.3","10.4",0.0012
"ny_minus_jfk","4 wk ahead","Bin","percent","10.4","10.5",7e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","10.5","10.6",3e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","10.6","10.7",0.0011
"ny_minus_jfk","4 wk ahead","Bin","percent","10.7","10.8",0.001
"ny_minus_jfk","4 wk ahead","Bin","percent","10.8","10.9",0.001
"ny_minus_jfk","4 wk ahead","Bin","percent","10.9","11.0",6e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","11.0","11.1",9e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","11.1","11.2",9e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","11.2","11.3",8e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","11.3","11.4",6e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","11.4","11.5",5e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","11.5","11.6",5e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","11.6","11.7",4e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","11.7","11.8",6e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","11.8","11.9",4e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","11.9","12.0",0.001
"ny_minus_jfk","4 wk ahead","Bin","percent","12.0","12.1",0.0011
"ny_minus_jfk","4 wk ahead","Bin","percent","12.1","12.2",6e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","12.2","12.3",1e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","12.3","12.4",2e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","12.4","12.5",5e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","12.5","12.6",0.001
"ny_minus_jfk","4 wk ahead","Bin","percent","12.6","12.7",3e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","12.7","12.8",7e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","12.8","12.9",3e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","12.9","13.0",2e-04
"ny_minus_jfk","4 wk ahead","Bin","percent","13.0","100.0",0.0301
